Date d'inscription,Nom,Terminé
18 sept. 2018 à 05:23:55,September 10k,true
10 oct. 2018 à 05:49:24,October Half Marathon,false
10 oct. 2018 à 05:49:37,October Running Distance Challenge,false
9 juil. 2020 à 10:16:35,July Gran Fondo,false
9 juil. 2020 à 10:29:09,July 5K,true
9 juil. 2020 à 10:29:26,July 10K,false
1 janv. 2021 à 17:05:14,January 5K,true
26 janv. 2021 à 08:09:30,February 5K,true
26 janv. 2021 à 08:09:32,February 10K,false
23 févr. 2021 à 17:47:29,March Saddle Up Challenge,false
6 mars 2021 à 15:28:17,March 5K,false
6 mars 2021 à 15:28:34,March 10K,false
28 mars 2021 à 11:14:15,April 5K,false
9 mai 2021 à 10:05:57,Red Bull Medaillenjagd: Bike pro,true
13 déc. 2021 à 13:38:28,December Gran Fondo,false
