Date des Kudos,Type de Kudos,ID parent
10 oct. 2017 à 17:23:29,Activité,1223534134
29 oct. 2017 à 17:33:30,Activité,1251393260
1 nov. 2017 à 20:19:45,Activité,1256260304
15 janv. 2018 à 21:16:25,Activité,1356665320
27 janv. 2018 à 11:28:58,Activité,1376755392
26 févr. 2018 à 21:01:57,Activité,1418925574
3 juin 2018 à 19:56:43,Activité,1614495217
12 juin 2018 à 17:29:52,Activité,1630028648
24 juin 2018 à 17:45:09,Activité,1658267476
26 juil. 2018 à 08:32:47,Activité,1727877731
6 août 2018 à 08:00:33,Activité,1752192133
6 août 2018 à 08:00:49,Activité,1752192255
6 août 2018 à 08:00:57,Activité,1752192051
6 août 2018 à 08:01:05,Activité,1745779333
21 août 2018 à 05:06:51,Activité,1786018454
29 août 2018 à 05:12:29,Activité,1799659804
30 août 2018 à 05:23:23,Activité,1804845795
30 août 2018 à 18:51:57,Activité,1796702451
4 sept. 2018 à 20:14:17,Activité,1814047605
9 sept. 2018 à 18:03:01,Activité,1829636729
9 sept. 2018 à 18:03:17,Activité,1829488457
9 sept. 2018 à 18:03:29,Activité,1829207377
13 sept. 2018 à 19:16:11,Activité,1833873891
16 sept. 2018 à 19:08:03,Activité,1845255958
17 sept. 2018 à 14:48:23,Activité,1844870171
18 sept. 2018 à 15:15:45,Activité,1846099379
23 sept. 2018 à 15:29:55,Activité,1860435491
5 oct. 2018 à 20:57:14,Activité,1882206948
10 oct. 2018 à 05:45:54,Activité,1893742358
10 oct. 2018 à 05:46:07,Activité,1888994120
13 oct. 2018 à 07:10:13,Activité,1899844614
14 oct. 2018 à 18:10:18,Activité,1904168654
15 oct. 2018 à 22:00:13,Activité,1907091434
27 oct. 2018 à 16:54:35,Activité,1929559461
4 nov. 2018 à 22:32:16,Activité,1945481577
18 nov. 2018 à 17:55:33,Activité,1971496428
25 nov. 2018 à 08:34:23,Activité,1982117316
3 déc. 2018 à 21:52:30,Activité,1995359115
8 déc. 2018 à 13:21:57,Activité,2006347235
8 janv. 2019 à 20:52:39,Activité,2064682114
8 janv. 2019 à 21:16:43,Activité,2065096758
14 janv. 2019 à 06:19:10,Activité,2076618320
19 janv. 2019 à 08:13:18,Activité,2084618185
19 janv. 2019 à 08:13:26,Activité,2085252556
24 janv. 2019 à 09:59:06,Activité,2091702311
25 janv. 2019 à 21:25:16,Activité,2100634048
27 janv. 2019 à 17:51:24,Activité,2104810540
9 févr. 2019 à 17:15:45,Activité,2130756445
9 févr. 2019 à 17:34:05,Activité,2130020230
11 févr. 2019 à 19:22:12,Activité,2136136592
14 févr. 2019 à 16:05:21,Activité,2143746090
14 févr. 2019 à 16:05:26,Activité,2139858196
14 févr. 2019 à 16:05:40,Activité,2139584866
16 févr. 2019 à 13:26:11,Activité,2150156254
17 févr. 2019 à 17:40:30,Activité,2154736599
19 févr. 2019 à 05:37:03,Activité,2158928975
3 mars 2019 à 12:48:29,Activité,2188269385
10 mars 2019 à 21:22:43,Activité,2196868175
10 mars 2019 à 21:22:57,Activité,2203464391
15 mars 2019 à 06:15:20,Activité,2212686985
15 mars 2019 à 06:15:23,Activité,2212328057
15 mars 2019 à 09:47:59,Activité,2212325554
17 mars 2019 à 13:51:40,Activité,2219327478
23 mars 2019 à 16:06:32,Activité,2234274407
24 mars 2019 à 20:12:03,Activité,2238107345
26 mars 2019 à 06:05:09,Activité,2240577814
27 mars 2019 à 05:05:55,Activité,2242615563
31 mars 2019 à 06:34:53,Activité,2252945303
31 mars 2019 à 18:29:52,Activité,2254350774
8 avr. 2019 à 09:03:54,Activité,2271013850
11 avr. 2019 à 13:34:09,Activité,2277488233
11 avr. 2019 à 13:34:15,Activité,2277486995
15 avr. 2019 à 13:57:29,Activité,2291350245
15 avr. 2019 à 13:57:58,Activité,2289195680
19 avr. 2019 à 16:44:27,Activité,2302288243
22 avr. 2019 à 21:07:11,Activité,2310602959
22 avr. 2019 à 21:07:13,Activité,2307614231
24 avr. 2019 à 08:46:36,Activité,2313193898
5 mai 2019 à 17:24:40,Activité,2343710364
8 mai 2019 à 10:04:54,Activité,2349475612
9 mai 2019 à 15:42:23,Activité,2353658845
9 mai 2019 à 15:42:29,Activité,2347306627
9 mai 2019 à 15:42:31,Activité,2347306577
11 mai 2019 à 06:24:20,Activité,2356958361
12 mai 2019 à 15:57:48,Activité,2361918234
14 mai 2019 à 17:21:55,Activité,2366804330
18 mai 2019 à 14:45:29,Activité,2375429924
18 mai 2019 à 14:45:31,Activité,2375429891
20 mai 2019 à 17:26:47,Activité,2382359850
15 juin 2019 à 06:09:49,Activité,2448868186
15 juin 2019 à 06:09:51,Activité,2445244264
15 juin 2019 à 06:10:04,Activité,2438719346
15 juin 2019 à 06:10:09,Activité,2432416054
15 juin 2019 à 06:10:11,Activité,2432416526
15 juin 2019 à 06:10:13,Activité,2432416055
15 juin 2019 à 06:10:50,Activité,2431523331
2 août 2019 à 16:32:52,Activité,2584455939
2 août 2019 à 16:33:00,Activité,2584455847
4 août 2019 à 07:41:00,Activité,2569189682
14 août 2019 à 06:51:42,Activité,2612385773
22 août 2019 à 05:24:47,Activité,2637551507
25 août 2019 à 19:28:46,Activité,2651145859
29 août 2019 à 14:12:39,Activité,2655426884
8 sept. 2019 à 12:58:21,Activité,2690401782
11 sept. 2019 à 09:20:48,Activité,2685059721
14 sept. 2019 à 15:37:53,Activité,2699923200
15 sept. 2019 à 10:59:45,Activité,2708719078
15 sept. 2019 à 10:59:53,Activité,2708719074
15 sept. 2019 à 10:59:58,Activité,2708717870
15 sept. 2019 à 11:00:00,Activité,2708718824
22 sept. 2019 à 20:30:36,Activité,2730496027
22 sept. 2019 à 20:31:29,Activité,2722746576
22 sept. 2019 à 20:32:17,Activité,2716029175
22 sept. 2019 à 20:32:56,Activité,2730469167
29 sept. 2019 à 18:00:40,Activité,2745470105
2 oct. 2019 à 16:17:57,Activité,2752290044
2 oct. 2019 à 16:18:06,Activité,2755116542
2 oct. 2019 à 16:18:10,Activité,2749182359
5 oct. 2019 à 06:26:53,Activité,2759832107
12 oct. 2019 à 06:30:59,Activité,2779621330
12 oct. 2019 à 06:31:07,Activité,2780678847
12 oct. 2019 à 06:31:17,Activité,2780679057
12 oct. 2019 à 06:31:28,Activité,2769421520
