Promotion vue,Date/heure
Marque d'option d'abonnement au flux,1591895736
Informations sur les détails de l'activité liés à la vitesse ajustée selon la pente,1594117986
Informations sur les détails de l'activité liés à la vitesse ajustée selon la pente,1594405723
Informations sur les détails de l'activité liés à la vitesse ajustée selon la pente,1600752426
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.GOALS_PROFILE_FEATURE_EDUCATION"">Goals Profile Feature Education</span>",1597646664
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.GOALS_PROFILE_FEATURE_EDUCATION"">Goals Profile Feature Education</span>",1597646665
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.GOALS_PROFILE_FEATURE_EDUCATION"">Goals Profile Feature Education</span>",1598818633
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.GOALS_PROFILE_FEATURE_EDUCATION"">Goals Profile Feature Education</span>",1598818634
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.GOALS_PROFILE_FEATURE_EDUCATION"">Goals Profile Feature Education</span>",1599200490
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.EVERGREEN_STATS_FEATURE_ED"">Evergreen Stats Feature Ed</span>",1616333323
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.EVERGREEN_STATS_FEATURE_ED"">Evergreen Stats Feature Ed</span>",1619074865
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.EVERGREEN_STATS_FEATURE_ED"">Evergreen Stats Feature Ed</span>",1619556422
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_HOME"">Navigation Tab Home</span>",1620301156
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_MAPS"">Navigation Tab Maps</span>",1620301205
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_GROUPS"">Navigation Tab Groups</span>",1620301164
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU"">Navigation Tab You</span>",1620301159
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU_PROGRESS"">Navigation Tab You Progress</span>",1620301159
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU_ACTIVITIES"">Navigation Tab You Activities</span>",1620496194
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU_PROFILE"">Navigation Tab You Profile</span>",1620554794
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_MAPS_SEGMENTS"">Navigation Tab Maps Segments</span>",1620301200
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_MAPS_ROUTES"">Navigation Tab Maps Routes</span>",1620301214
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_MAPS_SAVED"">Navigation Tab Maps Saved</span>",1620301218
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_GROUPS_ACTIVE"">Navigation Tab Groups Active</span>",1620301164
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_GROUPS_CHALLENGES"">Navigation Tab Groups Challenges</span>",1620301168
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_GROUPS_CLUBS"">Navigation Tab Groups Clubs</span>",1620301172
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620419422
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620473435
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620495888
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620537162
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620554694
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620554759
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1620496193
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1620597481
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1620818021
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1620926587
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1621269048
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1621283985
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_GROUPS_ACTIVE_EDUCATION_COACHMARK_IMPRESSION"">Navigation Groups Active Education Coachmark Impression</span>",1620496016
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_GROUPS_ACTIVE_EDUCATION_COACHMARK_IMPRESSION"">Navigation Groups Active Education Coachmark Impression</span>",1620635721
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_GROUPS_ACTIVE_EDUCATION_COACHMARK_IMPRESSION"">Navigation Groups Active Education Coachmark Impression</span>",1620851038
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_GROUPS_ACTIVE_EDUCATION_COACHMARK_IMPRESSION"">Navigation Groups Active Education Coachmark Impression</span>",1622292879
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_GROUPS_ACTIVE_EDUCATION_COACHMARK_IMPRESSION"">Navigation Groups Active Education Coachmark Impression</span>",1622610978
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_EDUCATION_MODAL_MAPS_J2"">Navigation Tab Education Modal Maps J2</span>",1622801998
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_EDUCATION_MODAL_GROUPS_J2"">Navigation Tab Education Modal Groups J2</span>",1622802048
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.DISTANCE_ELEVATION_NOTICE_DISMISSED"">Distance Elevation Notice Dismissed</span>",1632129013
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.MAP_SETTINGS_PERSONAL_HEATMAP_COACHMARK"">Map Settings Personal Heatmap Coachmark</span>",1633862682
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.MAP_SETTINGS_BUTTON_PERSONAL_HEATMAP_FEATURE_ED"">Map Settings Button Personal Heatmap Feature Ed</span>",1635849282
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.MAP_VISIBILITY_ACTIVITY_COACHMARK_IMPRESSION"">Map Visibility Activity Coachmark Impression</span>",1636111911
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.MAP_VISIBILITY_ACTIVITY_COACHMARK_IMPRESSION"">Map Visibility Activity Coachmark Impression</span>",1636660635
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.MAP_VISIBILITY_ACTIVITY_COACHMARK_IMPRESSION"">Map Visibility Activity Coachmark Impression</span>",1636660644
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.MAP_VISIBILITY_ACTIVITY_COACHMARK_IMPRESSION"">Map Visibility Activity Coachmark Impression</span>",1636821083
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.MAP_VISIBILITY_ACTIVITY_COACHMARK_DISMISSED"">Map Visibility Activity Coachmark Dismissed</span>",1636821086
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.ROUTE_FROM_ACTIVITY_MORE_OPTIONS_BUTTON_COACHMARK"">Route From Activity More Options Button Coachmark</span>",1637258701
"<span class=""translation_missing"" title=""translation missing: fr-FR.lib.export.portability_exporter.metering.label.ROUTE_FROM_ACTIVITY_SAVE_BUTTON_COACHMARK"">Route From Activity Save Button Coachmark</span>",1638134256
