Date,ID de l'itinéraire
13 juil. 2020 à 20:41:37,2717859071107960982
25 juil. 2020 à 19:08:13,2722184220195361262
25 juil. 2020 à 19:15:57,2722186162916402670
29 juil. 2020 à 10:06:00,2723497317398146376
8 août 2020 à 19:36:29,2727264764105802106
8 août 2020 à 19:40:49,2727265851362789156
15 août 2020 à 19:25:19,2729798665352856346
17 sept. 2020 à 12:42:20,2741656054214169678
23 oct. 2020 à 08:31:15,2754638828306236164
31 déc. 2020 à 13:22:54,2779716989480162332
5 avr. 2021 à 14:12:32,2814156326705862146
21 mai 2021 à 08:58:38,2830747170717590540
12 juin 2021 à 14:23:33,2838801470889663972
12 juin 2021 à 15:15:47,2838814617692817288
25 août 2021 à 08:29:53,2865529169690781960
5 nov. 2021 à 08:29:01,2891620878579064704
8 nov. 2021 à 13:26:49,2892782987687157184
8 nov. 2021 à 13:37:19,2892785628828334228
8 nov. 2021 à 13:41:58,2892786798675772362
8 nov. 2021 à 13:44:49,2892787516836141204
8 nov. 2021 à 13:47:54,2892788290804927636
8 nov. 2021 à 13:51:52,2892789292328713364
11 nov. 2021 à 10:59:12,2893833002741451442
11 nov. 2021 à 11:22:26,2893838848634948274
12 déc. 2021 à 19:32:50,2905196287742167472
12 déc. 2021 à 20:15:08,2905206931325989296
